uuid,major,minor,x,y,z,floor,power
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,1,-2.967031644421902,1.3821413546704435,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,2,-0.3627744995569025,-0.7549240391253517,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,3,4.987536230741186,1.3741715371088055,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,4,7.198410266145293,-0.7479710287633483,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,5,10.035804780188672,1.2674728206882544,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,6,12.574197485867192,-0.6948821617078043,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,7,16.679529704486132,1.0605366173436077,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,9,22.579867693867218,1.0708346635539332,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,10,18.90267257849447,4.429804960115683,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,11,21.568827507724233,4.390751938781598,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,12,21.17028447892585,7.362087503090306,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,13,18.023132423386688,7.531420042656622,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,14,17.319027353851002,10.28369059264298,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,15,20.553439259048254,10.20192303312691,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,16,19.98045281172862,12.954422429788593,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,17,16.3086737042582,13.21025200322114,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,18,13.637102767419258,16.352445741156362,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,19,18.92509616415216,16.623913082562524,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,21,14.37179630004331,21.11615819645241,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,41,20.28357655924639,14.570525140300683,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,43,24.392265176269373,14.40287080049031,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,44,27.098464786932464,16.461792012181736,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,45,30.07399584747026,14.456493640822504,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,46,32.517881931505286,16.558663377343727,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,47,35.62483674294577,14.378769012947622,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,48,38.68053344869841,16.525712899777847,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,49,42.74902482051486,14.347496739243535,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,50,45.93584014811429,16.49466947411771,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,51,43.35183418851222,19.54960335649683,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,52,45.92387480141074,23.35030027749859,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,89,19.631227249245562,-5.181419143832353,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,8,17.716022293154154,-1.1877919284706406,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,87,25.61488470172348,-1.793432226018119,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,188,-6.036188331907256,-0.6465532256755541,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,190,-2.870530445076649,6.796314526843095,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,191,-6.530453225121134,9.193763143842112,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,194,2.4190167819386503,9.416519671724112,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,54,48.52572332335873,25.850871554641664,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,53,45.23849219536444,27.896331910288936,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,195,7.398861634514107,7.556380083363044,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,196,12.000018302906412,9.594093040256112,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,199,4.491447434483122,15.865728882185616,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,200,2.4043388020655447,21.904822981936675,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,201,5.305799394718601,24.617376868970634,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,202,3.7444094702458726,27.648848793834894,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,203,-1.0457719911284125,29.671484152414976,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,204,-4.94058975533663,27.536212199709894,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,206,-12.334987503745575,27.684072606065122,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,207,8.25947179300725,29.697077136826856,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,208,13.169894362462014,27.82294338005143,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,209,17.674234003665482,29.863282717808644,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,210,14.267602959722883,33.577563040669766,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,211,17.988664946147768,39.935344842083666,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,213,4.778484039404644,33.47451652517856,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,212,9.319206432196722,35.559390451733705,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,214,0.8950808167948789,35.38271260921074,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,218,-12.488181338936549,40.210539852651976,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,217,-5.640825000481605,38.15290153681322,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,216,0.5999843666144855,40.171866824695144,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,215,-0.870538576516318,33.52100342304294,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,205,-8.500757275381831,33.96504683959202,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,219,23.865212231757855,26.951814848460096,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,220,31.108978436980482,29.99978012009406,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,221,34.20832449743817,28.182617350405067,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,222,34.185378696211764,38.41750823484517,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,223,31.07208954893717,40.43065836730042,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,224,45.27032669352341,40.613978562170914,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,225,43.38663262202286,38.61922100074355,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,226,43.393275967403184,30.518270697321782,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,20,17.716180103800696,23.667587371514166,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,253,8.76351440369558,23.762836212128498,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,42,22.359791232475295,16.46187037073683,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,21,22.54301529282802,-2.3963911496366226,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,62,75.88118704992823,28.62500283603755,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,63,79.37860965032823,29.042571704298265,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,64,82.74722375090366,29.422633026718408,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,65,79.21300778654789,31.36277832142773,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,66,81.04220897810777,36.429667596132184,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,67,83.99844030729459,33.811204396053455,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,68,87.47293755607181,36.394903265908795,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,69,89.2657708587244,34.436743407658234,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,70,91.83944792919344,36.227158858896225,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,71,95.8456652670636,34.96940292953809,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,72,97.72718145074604,36.97745992688908,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,73,103.47495912333967,35.48346735127821,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,74,100.30164778476791,39.34099928478659,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,75,105.0822946560121,39.45453643842502,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,76,101.49179234676983,42.13982173459507,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,77,104.05244072289328,43.59109075321177,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,78,102.55949258544685,48.382273378713066,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,79,105.1356375629814,49.68435153156368,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,80,103.44950170231489,53.86734559329294,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,81,105.9071883125207,56.33700685900078,0,3,-8
